"Collected.From"|"Year"|"Player"|"Position"|"Body-fat"|"Hand.length.(in)"|"Hand.width.(in)"|"Height.w/o.shoes"|"Height.w/.shoes"|"Standing.reach"|"Weight.(LBS)"|"Wingspan"
"1"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-18"|"2019-2020"|"Cameron Johnson"|"SG"|"5.8000000000000003E-2"|"8"|"8.5"|"6' 7''"|"6' 8.5''"|"8' 7''"|"205.2"|"6' 10''"
"2"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-19"|"2019-2020"|"Charles Matthews"|"SG"|"3.7999999999999999E-2"|"8.5"|"8.75"|"6' 5''"|"6' 6.25''"|"8' 7''"|"194.8"|"6' 9.5''"
"3"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-20"|"2019-2020"|"Cody Martin"|"PG-SG"|"0.05"|"8.25"|"9"|"6' 4.75''"|"6' 5.5''"|"8' 6.5''"|"192.2"|"6' 10.25''"
"4"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-21"|"2019-2020"|"Jarrett Culver"|"SG"|"0.05"|"8.25"|"8.5"|"6' 5.25''"|"6' 6.75''"|"8' 4.5''"|"194.2"|"6' 9.5''"
"5"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-22"|"2019-2020"|"Jaylen Nowell"|"SG"|"6.0999999999999999E-2"|"8.25"|"8.5"|"6' 3.25''"|"6' 4.25''"|"8' 2''"|"202.4"|"6' 7.25''"
"6"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-23"|"2019-2020"|"Jordan Bone"|"SG"|"0.05"|"7.5"|"9.25"|"6' 1.5''"|"6' 2.75''"|"7' 11''"|"179"|"6' 3.25''"
"7"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-24"|"2019-2020"|"Jordan Poole"|"SG"|"7.4999999999999997E-2"|"8.25"|"8.5"|"6' 3.5''"|"6' 5.5''"|"8' 3.5''"|"190.8"|"6' 6.75''"
"8"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-25"|"2019-2020"|"Keldon Johnson"|"SG"|"5.6000000000000001E-2"|"8"|"9.25"|"6' 4.75''"|"6' 6''"|"8' 8''"|"216.4"|"6' 9.25''"
"9"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-26"|"2019-2020"|"Kevin Porter Jr."|"SG"|"5.0999999999999997E-2"|"8.75"|"8.75"|"6' 4''"|"6' 5.5''"|"8' 7''"|"212.6"|"6' 9''"
"10"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-27"|"2019-2020"|"Kyle Guy"|"SG"|"5.7000000000000002E-2"|"8"|"8.75"|"6' 0.75''"|"6' 2.25''"|"7' 11.5''"|"167.8"|"6' 4.5''"
"11"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-28"|"2019-2020"|"Miye Oni"|"SG"|"4.9000000000000002E-2"|"9"|"10"|"6' 4.25''"|"6' 5.75''"|"8' 4.5''"|"205.6"|"6' 10.75''"
"12"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-29"|"2019-2020"|"Nickeil Alexander-Walker"|"SG"|"5.8999999999999997E-2"|"8.5"|"8.75"|"6' 4.25''"|"6' 5.5''"|"8' 6''"|"203.8"|"6' 9.5''"
"13"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-30"|"2019-2020"|"Quentin Grimes"|"SG"|"8.4000000000000005E-2"|"8.25"|"10"|"6' 4''"|"6' 5.25''"|"8' 4.5''"|"209.6"|"6' 7.75''"
"14"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-31"|"2019-2020"|"Quinndary Weatherspoon"|"SG"|"6.0999999999999999E-2"|"8.5"|"9"|"6' 3''"|"6' 4.25''"|"8' 4''"|"206.6"|"6' 9''"
"15"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-32"|"2019-2020"|"Romeo Langford"|"SG"|"-%"|"9"|"9"|"6' 4.5''"|"6' 6''"|"8' 7''"|"-"|"6' 11''"
"16"|"https://www.nba.com/stats/draft/combine-anthro/?sort=PLAYER_NAME&dir=1&SeasonYear=2017-33"|"2019-2020"|"Talen Horton-Tucker"|"SG"|"8.4000000000000005E-2"|"9.5"|"9.75"|"6' 2.5''"|"6' 4''"|"8' 7''"|"235.4"|"7' 1.25''"
